Tenure,MonthlyCharges,TotalContacts,ContractType,SupportTickets,Churn
51,148.63569333996193,9,1,0,0
14,108.96085236029482,0,0,1,1
71,143.3674867161102,5,2,1,0
60,38.53235215430503,0,1,3,0
20,69.678131728234,4,2,1,0
23,92.11513442670605,3,1,3,0
2,29.97854804553594,4,2,2,0
21,20.54436767163452,6,1,2,0
52,107.15646339359928,5,0,5,1
1,103.43653718418659,8,0,5,1
29,73.40254529994954,5,1,0,0
37,83.65372988416425,8,1,1,0
1,74.00759007697164,3,0,5,1
63,23.120655829835552,0,0,0,0
59,63.59830880827012,0,1,4,0
20,43.020693201647674,9,1,5,0
32,32.79514458317794,6,0,0,0
57,144.37365640561546,2,2,3,0
21,97.91676425548152,1,0,3,1
48,114.72531695075834,5,1,0,0
58,60.997286624595276,5,1,2,0
41,71.10912683422197,6,2,4,0
59,50.80011920657405,4,0,0,0
14,32.605537225505216,7,1,5,0
61,43.27411286740589,6,0,2,0
61,123.67682588854316,1,1,0,0
46,108.08095467389086,0,2,1,0
61,91.100753878112,8,0,5,1
50,81.76168347267985,4,0,5,1
54,139.91645687529618,4,2,3,0
63,29.455543211226892,9,1,1,0
2,56.47810572092908,3,1,1,0
50,65.49192096419283,1,0,5,1
6,121.71535558766242,4,2,4,1
20,149.02690062105628,1,0,2,1
38,51.2871669184299,6,0,3,1
17,133.6599534378205,8,1,1,0
3,127.98095885613287,8,1,3,1
59,49.20546169342966,5,1,5,0
13,71.91323542589893,0,1,2,0
8,73.25747300802749,5,1,0,0
52,147.16868690845257,4,2,1,0
1,43.515947179256784,3,0,2,1
59,123.89053624362167,5,2,3,0
70,63.44505284250429,5,0,5,0
43,115.01314495090085,5,1,2,0
7,74.60143055843616,1,2,0,0
46,95.1867692051502,6,0,2,1
34,128.23953053239705,3,1,5,1
35,124.54152344790494,8,1,3,0
49,132.63501386016102,9,2,1,0
3,27.750252294805673,1,2,1,0
1,109.96657189516682,4,2,4,1
5,38.19835897382917,3,1,3,0
53,74.05641384239343,8,0,4,1
3,91.3164939571095,3,0,4,1
53,72.356133017088,7,2,5,0
62,87.54951785439097,7,0,5,1
17,149.5484201438205,5,1,5,1
43,37.57825078267111,5,0,0,0
33,107.80928589373532,7,1,3,0
61,71.48012563012998,9,2,1,0
13,37.291273857952746,8,0,3,1
47,40.635779238660234,4,1,5,0
14,143.4055038119302,0,2,0,0
71,134.34819457252905,0,2,3,0
61,137.91545485395284,1,2,3,0
39,148.89926085756025,9,2,4,1
52,47.081000701107335,9,0,3,0
23,66.20711385732803,4,1,4,0
25,106.99847389023267,3,0,4,1
59,82.89433018188414,0,1,2,0
40,74.39063933918337,3,2,5,0
28,66.51546241362709,3,0,0,0
14,97.19148215264879,9,2,4,1
44,94.82714572321066,3,1,3,0
64,40.98951842835121,0,2,4,0
70,81.32617887739707,8,0,4,0
8,91.95133090728048,2,0,4,1
0,94.13730203508076,3,1,1,0
7,47.31393507860574,4,1,1,0
62,116.49528099279728,6,0,1,0
10,23.27588232673905,5,0,1,0
7,66.12814122061116,4,0,2,1
34,121.42764430963236,7,0,4,1
34,93.30607973720231,0,1,2,0
32,53.951116226411834,6,0,3,1
4,110.3439055145962,5,1,5,1
40,93.76082274028954,4,0,0,0
27,123.51166922933034,6,0,2,1
6,115.55327420467704,2,2,1,0
71,99.3140298647105,0,2,1,0
11,83.46309779040583,8,0,3,1
33,37.313676336778045,1,1,4,0
32,53.97329232509989,9,0,0,0
47,74.4829314792211,2,2,2,0
22,97.90890731083053,7,0,4,1
61,86.78202117798962,9,2,4,0
36,57.46398837473883,8,0,5,1
43,20.84036651266237,2,0,5,1
34,84.51109884710581,5,1,2,0
64,57.1313785130916,6,2,2,0
46,115.49907909236956,0,2,2,0
2,23.113014485162854,6,2,2,0
0,96.02761546975282,3,1,1,0
4,142.3916508757885,4,0,4,1
13,42.67320472449494,7,1,4,0
26,81.31443379757741,3,0,1,1
8,31.884858936227964,3,1,4,0
14,101.33864859397583,7,1,2,0
41,91.56911847750932,4,2,0,0
50,72.9575181476682,5,1,5,0
62,87.77901279158635,4,0,5,1
51,136.55470560097132,0,1,4,0
3,45.518259300438714,6,1,0,0
22,22.93338652169514,5,0,5,1
14,132.01643501088313,1,2,0,0
42,95.02522071042785,6,0,1,1
28,135.7855992100395,5,0,3,1
35,97.60287904371243,4,0,4,1
12,125.32094169476132,7,1,1,0
31,75.85753723616924,4,1,1,0
70,117.48179106747494,1,0,0,0
58,138.69539069568128,5,0,4,1
27,94.37598528388682,0,2,1,0
65,43.50206957310934,4,1,2,0
41,54.94368995392576,5,1,1,0
44,45.823794996662755,6,1,2,0
61,52.09141358744528,1,1,3,0
56,59.83400841563473,0,0,2,0
5,92.1673922779145,5,0,2,1
27,96.43891183029825,2,2,0,0
27,75.44496714144195,4,1,1,0
43,100.00470137670861,1,1,3,0
29,30.604740329477572,0,0,1,0
61,31.412470817560795,0,2,2,0
61,42.337829846495595,3,0,5,0
0,87.35007474524481,9,1,2,1
26,47.81930823078076,1,1,1,0
61,56.82697245403505,0,2,3,0
2,72.04066870248923,5,0,5,1
69,125.54259612134938,3,1,3,0
71,21.802077668671814,9,1,0,0
26,104.41924663076091,6,2,2,0
8,106.9539490352891,5,1,2,1
61,123.82525144636276,4,1,0,0
36,141.25788207784072,9,0,1,1
50,22.617920363407677,1,2,2,0
43,39.991881716718105,4,2,1,0
23,135.2022682272791,8,2,3,1
58,79.607413084312,8,0,5,1
31,93.39678306135026,1,2,5,1
51,106.19353648400916,6,1,5,0
61,108.27865858443286,9,2,4,0
57,141.12625243114607,3,1,0,0
51,149.60342426351704,2,2,5,1
11,113.62046992102223,0,2,2,1
38,57.338757196669604,2,0,0,0
1,134.36781229826465,8,2,3,1
2,26.39871889029901,8,2,3,0
55,50.04051087368451,6,0,3,0
58,136.66014327028293,2,1,3,0
1,53.30489687711614,2,2,4,1
1,48.6846377508273,3,2,1,0
53,37.956288108232144,6,1,1,0
0,131.68452849409914,6,0,5,1
18,85.00757369484127,1,2,4,1
1,107.73611639704012,4,0,1,1
52,51.07862992975386,6,1,3,0
43,118.54525473145814,6,1,1,0
31,118.8007208450728,5,0,0,1
69,60.63774323807902,9,1,5,0
31,73.38874229133677,9,1,1,0
67,47.25973606592611,7,2,0,0
54,146.95293303197755,2,0,2,1
55,103.92833501759351,0,2,0,0
16,141.490704493017,2,0,0,1
37,59.44012067178731,1,2,3,0
23,121.64581868959567,1,1,3,1
68,119.56162370501646,1,0,5,1
69,109.9152347426504,4,0,3,1
10,145.53306678468405,0,0,0,1
15,71.16219369382102,9,0,4,1
58,36.99325206666845,3,1,3,0
69,107.3221517017279,9,1,3,0
2,114.8102740620368,4,1,0,0
19,94.7578745496459,1,2,2,0
58,46.88632610734152,4,1,2,0
35,85.5792724170162,9,2,1,0
18,60.584665753986826,3,2,5,0
66,75.57064866166958,7,1,2,0
18,103.87841485980631,0,1,3,1
19,116.87791654980849,4,1,4,1
70,50.18920981717461,9,2,1,0
51,72.69229688410394,0,0,5,1
32,54.99100422891179,9,1,4,0
39,45.82210980204299,9,2,4,0
38,121.84033859945899,3,2,3,0
0,138.20285027680902,7,1,0,1
10,68.13018413899498,0,2,0,0
56,117.66626016858969,1,1,0,0
49,136.60938761737344,0,2,2,0
22,129.9961473689301,6,0,0,1
30,43.76574051009936,1,2,5,0
41,144.31794459673696,0,1,3,0
6,68.96793725583012,5,0,2,1
15,64.10128595259872,5,1,5,1
59,28.116072546111443,9,2,0,0
1,83.20257503363479,1,0,5,1
0,34.17177003332073,0,0,4,1
47,52.31017672056538,9,2,3,0
11,61.20254082974658,2,0,3,1
68,125.14742205391893,9,0,5,1
36,133.81352455146654,4,0,1,1
31,59.32062126999106,5,1,3,0
8,131.6307557617946,2,1,4,1
18,131.44002185807284,8,0,3,1
47,119.40462355003356,4,2,1,0
2,39.0703648219736,1,2,3,0
19,109.74197009709476,9,1,3,1
23,142.85312839547396,5,2,1,0
53,108.73026223973042,7,0,3,1
32,63.110190384018416,5,2,5,0
23,85.07531126600807,3,1,2,0
71,103.94425563563698,5,1,5,0
35,86.37415313470547,7,0,3,1
37,35.59388242502608,7,1,0,0
24,60.56832580476269,9,1,0,0
17,124.31148397197222,1,1,2,1
65,131.98434599241727,7,2,3,0
53,37.849004253024134,5,1,4,0
34,143.8102778118342,1,2,3,1
60,62.74694032031921,0,1,0,0
40,106.10078603499359,5,1,1,0
32,117.73726897436855,6,2,2,0
67,125.55301050292485,9,2,1,0
